Local time,Open,High,Low,Close,Volume
26.04.2023 00:00:00.000 GMT-0600,0.66071,0.66090,0.66022,0.66086,1844020004.2724998
26.04.2023 00:30:00.000 GMT-0600,0.66087,0.66166,0.66073,0.66138,1908889976.5014
26.04.2023 01:00:00.000 GMT-0600,0.66138,0.66169,0.66059,0.66166,2866980007.1717997
26.04.2023 01:30:00.000 GMT-0600,0.66169,0.66178,0.66030,0.66099,2812809978.4848
26.04.2023 02:00:00.000 GMT-0600,0.66101,0.66114,0.66012,0.66096,2513850002.2888
26.04.2023 02:30:00.000 GMT-0600,0.66096,0.66116,0.66001,0.66045,2035640003.2045
26.04.2023 03:00:00.000 GMT-0600,0.66044,0.66063,0.65968,0.66011,2171570003.5098004
26.04.2023 03:30:00.000 GMT-0600,0.66012,0.66028,0.65947,0.65978,1936580007.5528004
26.04.2023 04:00:00.000 GMT-0600,0.65977,0.66086,0.65977,0.66085,1874300018.3107
26.04.2023 04:30:00.000 GMT-0600,0.66086,0.66116,0.66013,0.66022,2080420001.9837
26.04.2023 05:00:00.000 GMT-0600,0.66023,0.66036,0.65949,0.65972,2699449996.9484
26.04.2023 05:30:00.000 GMT-0600,0.65972,0.66144,0.65970,0.66018,4399080005.646
26.04.2023 06:00:00.000 GMT-0600,0.66020,0.66067,0.65984,0.66062,2924960006.7137003
26.04.2023 06:30:00.000 GMT-0600,0.66055,0.66089,0.65981,0.66036,4052390007.019099
26.04.2023 07:00:00.000 GMT-0600,0.66034,0.66108,0.66023,0.66067,4290860012.0543003
26.04.2023 07:30:00.000 GMT-0600,0.66071,0.66179,0.66043,0.66152,5058960029.602098
26.04.2023 08:00:00.000 GMT-0600,0.66150,0.66151,0.66020,0.66058,4082759963.9890003
26.04.2023 08:30:00.000 GMT-0600,0.66061,0.66100,0.66038,0.66070,3356929977.4169006
26.04.2023 09:00:00.000 GMT-0600,0.66071,0.66162,0.66056,0.66073,2948439990.9970994
26.04.2023 09:30:00.000 GMT-0600,0.66070,0.66189,0.66058,0.66148,1560099992.7517
26.04.2023 10:00:00.000 GMT-0600,0.66147,0.66151,0.66059,0.66062,1722659999.8473997
26.04.2023 10:30:00.000 GMT-0600,0.66063,0.66073,0.66017,0.66073,1212650007.2477
26.04.2023 11:00:00.000 GMT-0600,0.66071,0.66093,0.66060,0.66079,1094490000.7251
26.04.2023 11:30:00.000 GMT-0600,0.66078,0.66079,0.66010,0.66016,991950008.3924
26.04.2023 12:00:00.000 GMT-0600,0.66016,0.66017,0.65929,0.65962,1028829988.4796001
26.04.2023 12:30:00.000 GMT-0600,0.65962,0.65972,0.65910,0.65919,1353060009.0024002
26.04.2023 13:00:00.000 GMT-0600,0.65919,0.65988,0.65915,0.65986,1054860001.5642
26.04.2023 13:30:00.000 GMT-0600,0.65985,0.66001,0.65921,0.65960,1006230000.9724
26.04.2023 14:00:00.000 GMT-0600,0.65961,0.65999,0.65941,0.65995,485689998.3884
26.04.2023 14:30:00.000 GMT-0600,0.65992,0.66037,0.65991,0.66003,456189998.6268
26.04.2023 15:00:00.000 GMT-0600,0.66002,0.66028,0.65959,0.66006,442379992.1272
26.04.2023 15:30:00.000 GMT-0600,0.66006,0.66035,0.65961,0.66034,985639990.2101004
26.04.2023 16:00:00.000 GMT-0600,0.66034,0.66083,0.66018,0.66073,665709995.7468002
26.04.2023 16:30:00.000 GMT-0600,0.66073,0.66077,0.66030,0.66075,539690003.1566
26.04.2023 17:00:00.000 GMT-0600,0.66075,0.66110,0.66065,0.66084,821569995.4030998
26.04.2023 17:30:00.000 GMT-0600,0.66083,0.66104,0.66069,0.66076,501809998.03540003
26.04.2023 18:00:00.000 GMT-0600,0.66076,0.66088,0.66001,0.66035,1469929991.7221005
26.04.2023 18:30:00.000 GMT-0600,0.66036,0.66083,0.66011,0.66082,1427040002.8226004
26.04.2023 19:00:00.000 GMT-0600,0.66081,0.66088,0.66002,0.66011,1615160003.6619
26.04.2023 19:30:00.000 GMT-0600,0.66015,0.66084,0.65996,0.66075,1818160011.2914991
26.04.2023 20:00:00.000 GMT-0600,0.66074,0.66123,0.66052,0.66117,1407080017.0898
26.04.2023 20:30:00.000 GMT-0600,0.66114,0.66128,0.66033,0.66072,1716379987.7168002
26.04.2023 21:00:00.000 GMT-0600,0.66073,0.66096,0.66047,0.66054,1339089995.3843997
26.04.2023 21:30:00.000 GMT-0600,0.66052,0.66093,0.66050,0.66065,1087609994.8882
26.04.2023 22:00:00.000 GMT-0600,0.66066,0.66103,0.66062,0.66089,959690000.5341
26.04.2023 22:30:00.000 GMT-0600,0.66089,0.66161,0.66081,0.66159,1038310006.1417001
26.04.2023 23:00:00.000 GMT-0600,0.66158,0.66254,0.66140,0.66254,1538930013.6563
26.04.2023 23:30:00.000 GMT-0600,0.66257,0.66350,0.66256,0.66284,2923070011.1389003
27.04.2023 00:00:00.000 GMT-0600,0.66282,0.66328,0.66244,0.66299,2486049991.6079
27.04.2023 00:30:00.000 GMT-0600,0.66299,0.66307,0.66214,0.66266,2233829990.3870997
27.04.2023 01:00:00.000 GMT-0600,0.66266,0.66291,0.66142,0.66163,3362930007.9344006
27.04.2023 01:30:00.000 GMT-0600,0.66164,0.66229,0.66158,0.66193,2001150009.1553
27.04.2023 02:00:00.000 GMT-0600,0.66193,0.66235,0.66153,0.66166,2041690013.8857
27.04.2023 02:30:00.000 GMT-0600,0.66168,0.66204,0.66140,0.66187,1650719976.425
27.04.2023 03:00:00.000 GMT-0600,0.66184,0.66201,0.66108,0.66110,1508059993.7437003
27.04.2023 03:30:00.000 GMT-0600,0.66112,0.66141,0.66059,0.66086,1373130007.7438
27.04.2023 04:00:00.000 GMT-0600,0.66085,0.66132,0.66078,0.66105,1153380006.7902
27.04.2023 04:30:00.000 GMT-0600,0.66104,0.66191,0.66085,0.66188,1615719997.4059
27.04.2023 05:00:00.000 GMT-0600,0.66189,0.66230,0.66179,0.66196,1596910005.5696
27.04.2023 05:30:00.000 GMT-0600,0.66195,0.66214,0.66165,0.66180,1468830001.8310003
27.04.2023 06:00:00.000 GMT-0600,0.66180,0.66236,0.66178,0.66213,1758319999.6946003
27.04.2023 06:30:00.000 GMT-0600,0.66211,0.66302,0.66028,0.66101,9228839958.190998
27.04.2023 07:00:00.000 GMT-0600,0.66102,0.66146,0.65999,0.66020,4908559974.6704
27.04.2023 07:30:00.000 GMT-0600,0.66021,0.66125,0.65949,0.66076,4723470001.220599
27.04.2023 08:00:00.000 GMT-0600,0.66076,0.66221,0.66063,0.66103,4906479965.209901
27.04.2023 08:30:00.000 GMT-0600,0.66105,0.66183,0.66098,0.66138,3910980018.615499
27.04.2023 09:00:00.000 GMT-0600,0.66139,0.66224,0.66113,0.66218,3033360015.8689
27.04.2023 09:30:00.000 GMT-0600,0.66217,0.66230,0.66109,0.66120,1733080005.646
27.04.2023 10:00:00.000 GMT-0600,0.66121,0.66154,0.66107,0.66121,1175960009.5747
27.04.2023 10:30:00.000 GMT-0600,0.66122,0.66149,0.66120,0.66140,861809997.5587001
27.04.2023 11:00:00.000 GMT-0600,0.66140,0.66228,0.66136,0.66223,818950002.6702
27.04.2023 11:30:00.000 GMT-0600,0.66223,0.66307,0.66223,0.66256,931649997.7112001
27.04.2023 12:00:00.000 GMT-0600,0.66255,0.66285,0.66225,0.66283,713470000.2673999
27.04.2023 12:30:00.000 GMT-0600,0.66282,0.66311,0.66272,0.66296,718900007.7247
27.04.2023 13:00:00.000 GMT-0600,0.66298,0.66324,0.66283,0.66309,751440001.4879
27.04.2023 13:30:00.000 GMT-0600,0.66305,0.66310,0.66278,0.66283,851930000.3052
27.04.2023 14:00:00.000 GMT-0600,0.66282,0.66310,0.66274,0.66279,835689997.1962003
27.04.2023 14:30:00.000 GMT-0600,0.66280,0.66301,0.66280,0.66289,328089997.8877
27.04.2023 15:00:00.000 GMT-0600,0.66286,0.66286,0.66151,0.66252,318160001.5165
27.04.2023 15:30:00.000 GMT-0600,0.66254,0.66274,0.66243,0.66264,951999995.7087001
27.04.2023 16:00:00.000 GMT-0600,0.66266,0.66301,0.66261,0.66265,648969998.5978999
27.04.2023 16:30:00.000 GMT-0600,0.66264,0.66271,0.66252,0.66261,343309999.7045
27.04.2023 17:00:00.000 GMT-0600,0.66260,0.66277,0.66250,0.66259,523320000.88680005
27.04.2023 17:30:00.000 GMT-0600,0.66259,0.66313,0.66259,0.66296,771649990.0819001
27.04.2023 18:00:00.000 GMT-0600,0.66298,0.66346,0.66278,0.66340,1358829996.1091
27.04.2023 18:30:00.000 GMT-0600,0.66338,0.66357,0.66321,0.66344,1210759996.4139001
27.04.2023 19:00:00.000 GMT-0600,0.66345,0.66352,0.66313,0.66325,1109579998.9701
27.04.2023 19:30:00.000 GMT-0600,0.66324,0.66418,0.66324,0.66374,3263470008.850301
27.04.2023 20:00:00.000 GMT-0600,0.66374,0.66374,0.66277,0.66293,1573129989.624
27.04.2023 20:30:00.000 GMT-0600,0.66292,0.66330,0.66286,0.66291,1143859996.7957003
27.04.2023 21:00:00.000 GMT-0600,0.66288,0.66334,0.66255,0.66297,2044810028.0760002
27.04.2023 21:30:00.000 GMT-0600,0.66300,0.66323,0.66256,0.66283,1364670002.9376
27.04.2023 22:00:00.000 GMT-0600,0.66282,0.66301,0.66155,0.66155,3365549995.422399
27.04.2023 22:30:00.000 GMT-0600,0.66157,0.66173,0.66144,0.66147,1283970005.0356002
27.04.2023 23:00:00.000 GMT-0600,0.66147,0.66157,0.66098,0.66134,1403229996.6811001
27.04.2023 23:30:00.000 GMT-0600,0.66133,0.66196,0.66064,0.66099,1975579999.9238002
28.04.2023 00:00:00.000 GMT-0600,0.66099,0.66138,0.66070,0.66095,2333489984.5125
28.04.2023 00:30:00.000 GMT-0600,0.66094,0.66117,0.66007,0.66033,3703819999.6948
28.04.2023 01:00:00.000 GMT-0600,0.66034,0.66037,0.65835,0.65963,3571760017.394999
28.04.2023 01:30:00.000 GMT-0600,0.65964,0.65977,0.65900,0.65948,2222070013.0463004
28.04.2023 02:00:00.000 GMT-0600,0.65948,0.65970,0.65805,0.65805,3007060012.8176007
28.04.2023 02:30:00.000 GMT-0600,0.65806,0.65853,0.65782,0.65823,2077029983.5203
28.04.2023 03:00:00.000 GMT-0600,0.65823,0.65855,0.65786,0.65825,1926830005.6456997
28.04.2023 03:30:00.000 GMT-0600,0.65829,0.65858,0.65803,0.65805,1426589997.2917001
28.04.2023 04:00:00.000 GMT-0600,0.65806,0.65929,0.65790,0.65901,1767569992.0652003
28.04.2023 04:30:00.000 GMT-0600,0.65900,0.65900,0.65825,0.65828,1382749994.2776
28.04.2023 05:00:00.000 GMT-0600,0.65828,0.65871,0.65800,0.65870,1215589998.2452998
28.04.2023 05:30:00.000 GMT-0600,0.65867,0.65873,0.65815,0.65859,1569179996.4904
28.04.2023 06:00:00.000 GMT-0600,0.65858,0.65897,0.65799,0.65805,2098080001.8311002
28.04.2023 06:30:00.000 GMT-0600,0.65805,0.65923,0.65728,0.65859,8471059967.041099
28.04.2023 07:00:00.000 GMT-0600,0.65860,0.65974,0.65838,0.65863,5316660003.662201
28.04.2023 07:30:00.000 GMT-0600,0.65860,0.65933,0.65814,0.65852,4039949983.5966
28.04.2023 08:00:00.000 GMT-0600,0.65854,0.65973,0.65815,0.65941,4165410011.2911
28.04.2023 08:30:00.000 GMT-0600,0.65940,0.66088,0.65888,0.66071,5109079986.572301
28.04.2023 09:00:00.000 GMT-0600,0.66071,0.66116,0.66010,0.66074,4005639972.6865
28.04.2023 09:30:00.000 GMT-0600,0.66075,0.66164,0.66075,0.66162,2220460014.3435993
28.04.2023 10:00:00.000 GMT-0600,0.66161,0.66173,0.66112,0.66140,1865660007.4767995
28.04.2023 10:30:00.000 GMT-0600,0.66142,0.66175,0.66122,0.66168,1300519996.6430995
28.04.2023 11:00:00.000 GMT-0600,0.66167,0.66167,0.66119,0.66145,913349998.9505999
28.04.2023 11:30:00.000 GMT-0600,0.66145,0.66164,0.66118,0.66137,993229986.1908
28.04.2023 12:00:00.000 GMT-0600,0.66136,0.66167,0.66114,0.66127,968749995.2315999
28.04.2023 12:30:00.000 GMT-0600,0.66124,0.66142,0.66088,0.66139,1036549998.2835
28.04.2023 13:00:00.000 GMT-0600,0.66139,0.66165,0.66113,0.66151,1145710004.3298001
28.04.2023 13:30:00.000 GMT-0600,0.66150,0.66169,0.66133,0.66166,721039999.9615002
28.04.2023 14:00:00.000 GMT-0600,0.66166,0.66186,0.66162,0.66167,537530002.5938001
28.04.2023 14:30:00.000 GMT-0600,0.66167,0.66171,0.66112,0.66112,1110470006.9428
28.04.2023 15:00:00.000 GMT-0600,0.66112,0.66112,0.66112,0.66112,0
28.04.2023 15:30:00.000 GMT-0600,0.66112,0.66112,0.66112,0.66112,0
28.04.2023 16:00:00.000 GMT-0600,0.66112,0.66112,0.66112,0.66112,0
28.04.2023 16:30:00.000 GMT-0600,0.66112,0.66112,0.66112,0.66112,0
28.04.2023 17:00:00.000 GMT-0600,0.66112,0.66112,0.66112,0.66112,0
28.04.2023 17:30:00.000 GMT-0600,0.66112,0.66112,0.66112,0.66112,0
28.04.2023 18:00:00.000 GMT-0600,0.66112,0.66112,0.66112,0.66112,0
28.04.2023 18:30:00.000 GMT-0600,0.66112,0.66112,0.66112,0.66112,0
28.04.2023 19:00:00.000 GMT-0600,0.66112,0.66112,0.66112,0.66112,0
28.04.2023 19:30:00.000 GMT-0600,0.66112,0.66112,0.66112,0.66112,0
28.04.2023 20:00:00.000 GMT-0600,0.66112,0.66112,0.66112,0.66112,0
28.04.2023 20:30:00.000 GMT-0600,0.66112,0.66112,0.66112,0.66112,0
28.04.2023 21:00:00.000 GMT-0600,0.66112,0.66112,0.66112,0.66112,0
28.04.2023 21:30:00.000 GMT-0600,0.66112,0.66112,0.66112,0.66112,0
28.04.2023 22:00:00.000 GMT-0600,0.66112,0.66112,0.66112,0.66112,0
28.04.2023 22:30:00.000 GMT-0600,0.66112,0.66112,0.66112,0.66112,0
28.04.2023 23:00:00.000 GMT-0600,0.66112,0.66112,0.66112,0.66112,0
28.04.2023 23:30:00.000 GMT-0600,0.66112,0.66112,0.66112,0.66112,0
29.04.2023 00:00:00.000 GMT-0600,0.66112,0.66112,0.66112,0.66112,0
29.04.2023 00:30:00.000 GMT-0600,0.66112,0.66112,0.66112,0.66112,0
29.04.2023 01:00:00.000 GMT-0600,0.66112,0.66112,0.66112,0.66112,0
29.04.2023 01:30:00.000 GMT-0600,0.66112,0.66112,0.66112,0.66112,0
29.04.2023 02:00:00.000 GMT-0600,0.66112,0.66112,0.66112,0.66112,0
29.04.2023 02:30:00.000 GMT-0600,0.66112,0.66112,0.66112,0.66112,0
29.04.2023 03:00:00.000 GMT-0600,0.66112,0.66112,0.66112,0.66112,0
29.04.2023 03:30:00.000 GMT-0600,0.66112,0.66112,0.66112,0.66112,0
29.04.2023 04:00:00.000 GMT-0600,0.66112,0.66112,0.66112,0.66112,0
29.04.2023 04:30:00.000 GMT-0600,0.66112,0.66112,0.66112,0.66112,0
29.04.2023 05:00:00.000 GMT-0600,0.66112,0.66112,0.66112,0.66112,0
29.04.2023 05:30:00.000 GMT-0600,0.66112,0.66112,0.66112,0.66112,0
29.04.2023 06:00:00.000 GMT-0600,0.66112,0.66112,0.66112,0.66112,0
29.04.2023 06:30:00.000 GMT-0600,0.66112,0.66112,0.66112,0.66112,0
29.04.2023 07:00:00.000 GMT-0600,0.66112,0.66112,0.66112,0.66112,0
29.04.2023 07:30:00.000 GMT-0600,0.66112,0.66112,0.66112,0.66112,0
29.04.2023 08:00:00.000 GMT-0600,0.66112,0.66112,0.66112,0.66112,0
29.04.2023 08:30:00.000 GMT-0600,0.66112,0.66112,0.66112,0.66112,0
29.04.2023 09:00:00.000 GMT-0600,0.66112,0.66112,0.66112,0.66112,0
