Local time,Open,High,Low,Close,Volume
26.04.2023 00:00:00.000 GMT-0600,1.09886,1.09943,1.09849,1.09942,6398280036.9262
26.04.2023 00:30:00.000 GMT-0600,1.09943,1.10115,1.09937,1.10066,8658180030.8227
26.04.2023 01:00:00.000 GMT-0600,1.10066,1.10258,1.10041,1.10239,13263470123.2911
26.04.2023 01:30:00.000 GMT-0600,1.10240,1.10253,1.10121,1.10192,15019080032.3488
26.04.2023 02:00:00.000 GMT-0600,1.10191,1.10383,1.10159,1.10363,13813030075.0731
26.04.2023 02:30:00.000 GMT-0600,1.10363,1.10430,1.10309,1.10418,12099840026.8554
26.04.2023 03:00:00.000 GMT-0600,1.10418,1.10544,1.10410,1.10475,14277979995.727701
26.04.2023 03:30:00.000 GMT-0600,1.10473,1.10498,1.10369,1.10410,10226599990.8448
26.04.2023 04:00:00.000 GMT-0600,1.10411,1.10506,1.10386,1.10484,8765919982.9101
26.04.2023 04:30:00.000 GMT-0600,1.10486,1.10626,1.10442,1.10450,10050860000.610199
26.04.2023 05:00:00.000 GMT-0600,1.10451,1.10482,1.10312,1.10464,13064420074.4629
26.04.2023 05:30:00.000 GMT-0600,1.10463,1.10583,1.10432,1.10461,16666540054.321493
26.04.2023 06:00:00.000 GMT-0600,1.10460,1.10502,1.10355,1.10498,13694899948.120098
26.04.2023 06:30:00.000 GMT-0600,1.10499,1.10576,1.10373,1.10537,18616030075.073597
26.04.2023 07:00:00.000 GMT-0600,1.10537,1.10952,1.10482,1.10875,20525779907.2267
26.04.2023 07:30:00.000 GMT-0600,1.10876,1.10932,1.10777,1.10849,23187440002.441494
26.04.2023 08:00:00.000 GMT-0600,1.10850,1.10858,1.10609,1.10661,21727579956.054897
26.04.2023 08:30:00.000 GMT-0600,1.10662,1.10699,1.10418,1.10433,16381719955.4443
26.04.2023 09:00:00.000 GMT-0600,1.10435,1.10543,1.10362,1.10478,14853099853.5161
26.04.2023 09:30:00.000 GMT-0600,1.10479,1.10567,1.10454,1.10509,9272419982.9102
26.04.2023 10:00:00.000 GMT-0600,1.10509,1.10528,1.10333,1.10342,10253160003.6623
26.04.2023 10:30:00.000 GMT-0600,1.10342,1.10417,1.10329,1.10409,7974880065.9177
26.04.2023 11:00:00.000 GMT-0600,1.10409,1.10419,1.10347,1.10394,5559280052.1852
26.04.2023 11:30:00.000 GMT-0600,1.10393,1.10408,1.10348,1.10374,4268490022.6596
26.04.2023 12:00:00.000 GMT-0600,1.10376,1.10389,1.10323,1.10353,3583310028.0762997
26.04.2023 12:30:00.000 GMT-0600,1.10353,1.10397,1.10327,1.10390,5197839984.8938
26.04.2023 13:00:00.000 GMT-0600,1.10389,1.10409,1.10351,1.10387,5448749938.964801
26.04.2023 13:30:00.000 GMT-0600,1.10387,1.10388,1.10324,1.10356,4242490032.196301
26.04.2023 14:00:00.000 GMT-0600,1.10356,1.10385,1.10350,1.10385,1670610014.4982002
26.04.2023 14:30:00.000 GMT-0600,1.10386,1.10419,1.10381,1.10384,1148959997.8922
26.04.2023 15:00:00.000 GMT-0600,1.10380,1.10415,1.10380,1.10407,174920000.55340004
26.04.2023 15:30:00.000 GMT-0600,1.10406,1.10422,1.10392,1.10409,1117470019.0426
26.04.2023 16:00:00.000 GMT-0600,1.10409,1.10443,1.10350,1.10402,3189929988.860999
26.04.2023 16:30:00.000 GMT-0600,1.10400,1.10414,1.10371,1.10396,1552860003.829
26.04.2023 17:00:00.000 GMT-0600,1.10396,1.10458,1.10385,1.10434,2465250028.6106005
26.04.2023 17:30:00.000 GMT-0600,1.10433,1.10463,1.10433,1.10450,2334819994.9265003
26.04.2023 18:00:00.000 GMT-0600,1.10450,1.10474,1.10409,1.10465,5485810001.3732
26.04.2023 18:30:00.000 GMT-0600,1.10466,1.10468,1.10416,1.10456,3821080005.6458
26.04.2023 19:00:00.000 GMT-0600,1.10456,1.10459,1.10389,1.10423,5064439964.2942
26.04.2023 19:30:00.000 GMT-0600,1.10424,1.10491,1.10413,1.10455,5420490005.4931
26.04.2023 20:00:00.000 GMT-0600,1.10457,1.10500,1.10427,1.10492,4548089996.3379
26.04.2023 20:30:00.000 GMT-0600,1.10491,1.10536,1.10491,1.10528,5032190029.1444
26.04.2023 21:00:00.000 GMT-0600,1.10530,1.10540,1.10495,1.10496,3141019982.337701
26.04.2023 21:30:00.000 GMT-0600,1.10496,1.10521,1.10456,1.10456,2998689996.7193995
26.04.2023 22:00:00.000 GMT-0600,1.10456,1.10540,1.10456,1.10525,3370649993.8965
26.04.2023 22:30:00.000 GMT-0600,1.10526,1.10547,1.10505,1.10506,3889220002.1745005
26.04.2023 23:00:00.000 GMT-0600,1.10505,1.10563,1.10498,1.10563,3918109966.278
26.04.2023 23:30:00.000 GMT-0600,1.10565,1.10634,1.10560,1.10595,6837659992.217899
27.04.2023 00:00:00.000 GMT-0600,1.10594,1.10595,1.10538,1.10551,6387760025.024399
27.04.2023 00:30:00.000 GMT-0600,1.10552,1.10615,1.10489,1.10558,6966190032.959
27.04.2023 01:00:00.000 GMT-0600,1.10557,1.10566,1.10398,1.10409,13056940048.217503
27.04.2023 01:30:00.000 GMT-0600,1.10410,1.10585,1.10401,1.10495,10698910018.920998
27.04.2023 02:00:00.000 GMT-0600,1.10496,1.10514,1.10412,1.10507,10159619995.1171
