Local time,Open,High,Low,Close,Volume
26.04.2023 00:00:00.000 GMT-0600,1.24274,1.24303,1.24211,1.24279,3368839981.0789
26.04.2023 00:30:00.000 GMT-0600,1.24279,1.24471,1.24266,1.24411,2885610012.054201
26.04.2023 01:00:00.000 GMT-0600,1.24411,1.24612,1.24376,1.24604,3773519996.6433
26.04.2023 01:30:00.000 GMT-0600,1.24608,1.24614,1.24451,1.24589,3288709999.0845995
26.04.2023 02:00:00.000 GMT-0600,1.24590,1.24697,1.24483,1.24672,3770309982.299601
26.04.2023 02:30:00.000 GMT-0600,1.24673,1.24786,1.24579,1.24786,2567820014.9538994
26.04.2023 03:00:00.000 GMT-0600,1.24788,1.24845,1.24703,1.24713,2625050003.0519
26.04.2023 03:30:00.000 GMT-0600,1.24713,1.24784,1.24666,1.24687,2370910026.5505996
26.04.2023 04:00:00.000 GMT-0600,1.24690,1.24812,1.24630,1.24735,2268820011.139
26.04.2023 04:30:00.000 GMT-0600,1.24739,1.24906,1.24739,1.24827,3141980010.9865007
26.04.2023 05:00:00.000 GMT-0600,1.24830,1.24886,1.24699,1.24747,3032290008.5450997
26.04.2023 05:30:00.000 GMT-0600,1.24746,1.24833,1.24660,1.24721,6665249984.741201
26.04.2023 06:00:00.000 GMT-0600,1.24722,1.24735,1.24621,1.24730,2909059997.5585003
26.04.2023 06:30:00.000 GMT-0600,1.24731,1.24771,1.24592,1.24723,5235150005.340699
26.04.2023 07:00:00.000 GMT-0600,1.24725,1.25150,1.24694,1.25024,6194490020.751999
26.04.2023 07:30:00.000 GMT-0600,1.25024,1.25033,1.24882,1.24944,6720930061.340402
26.04.2023 08:00:00.000 GMT-0600,1.24944,1.24980,1.24751,1.24813,5699170021.057098
26.04.2023 08:30:00.000 GMT-0600,1.24815,1.24844,1.24609,1.24686,4539449989.319098
26.04.2023 09:00:00.000 GMT-0600,1.24685,1.24798,1.24645,1.24737,4442109977.7219
26.04.2023 09:30:00.000 GMT-0600,1.24739,1.24902,1.24728,1.24836,3937569992.0652995
26.04.2023 10:00:00.000 GMT-0600,1.24837,1.24864,1.24639,1.24645,5315600036.621001
26.04.2023 10:30:00.000 GMT-0600,1.24643,1.24687,1.24591,1.24671,3325500011.4441004
26.04.2023 11:00:00.000 GMT-0600,1.24671,1.24744,1.24635,1.24731,2183880008.6976
26.04.2023 11:30:00.000 GMT-0600,1.24730,1.24746,1.24632,1.24647,2472779983.5204
26.04.2023 12:00:00.000 GMT-0600,1.24650,1.24651,1.24540,1.24568,1820060021.4004
26.04.2023 12:30:00.000 GMT-0600,1.24567,1.24603,1.24535,1.24555,2189270003.3189
26.04.2023 13:00:00.000 GMT-0600,1.24555,1.24653,1.24553,1.24649,1751460002.899
26.04.2023 13:30:00.000 GMT-0600,1.24650,1.24656,1.24591,1.24629,1973370004.6538994
26.04.2023 14:00:00.000 GMT-0600,1.24630,1.24660,1.24608,1.24660,592899999.3799999
26.04.2023 14:30:00.000 GMT-0600,1.24659,1.24700,1.24647,1.24669,574350000.7391
26.04.2023 15:00:00.000 GMT-0600,1.24668,1.24668,1.24590,1.24628,381030001.87880003
26.04.2023 15:30:00.000 GMT-0600,1.24629,1.24667,1.24626,1.24665,748299998.7602
26.04.2023 16:00:00.000 GMT-0600,1.24668,1.24705,1.24642,1.24667,3157660023.6891003
26.04.2023 16:30:00.000 GMT-0600,1.24668,1.24682,1.24646,1.24675,1094400000.2743
26.04.2023 17:00:00.000 GMT-0600,1.24675,1.24728,1.24666,1.24706,2218830012.3212996
26.04.2023 17:30:00.000 GMT-0600,1.24704,1.24728,1.24699,1.24704,2117709994.3161
26.04.2023 18:00:00.000 GMT-0600,1.24704,1.24734,1.24650,1.24705,3846220016.4793997
26.04.2023 18:30:00.000 GMT-0600,1.24705,1.24712,1.24657,1.24704,3637499998.0927
26.04.2023 19:00:00.000 GMT-0600,1.24706,1.24712,1.24625,1.24652,3180700025.558501
26.04.2023 19:30:00.000 GMT-0600,1.24652,1.24738,1.24639,1.24725,2273969985.9616
26.04.2023 20:00:00.000 GMT-0600,1.24727,1.24747,1.24687,1.24726,3248830028.5340996
26.04.2023 20:30:00.000 GMT-0600,1.24724,1.24753,1.24712,1.24747,3061710004.8064995
26.04.2023 21:00:00.000 GMT-0600,1.24748,1.24774,1.24723,1.24739,1755879996.7766001
26.04.2023 21:30:00.000 GMT-0600,1.24741,1.24753,1.24688,1.24688,2210379985.8093004
26.04.2023 22:00:00.000 GMT-0600,1.24687,1.24758,1.24683,1.24729,3599939987.1826997
26.04.2023 22:30:00.000 GMT-0600,1.24729,1.24768,1.24725,1.24742,1917569988.2507005
26.04.2023 23:00:00.000 GMT-0600,1.24741,1.24834,1.24721,1.24831,2691109977.7223
26.04.2023 23:30:00.000 GMT-0600,1.24838,1.24877,1.24778,1.24828,4606049957.2755
27.04.2023 00:00:00.000 GMT-0600,1.24827,1.24844,1.24703,1.24721,5305180004.1202
27.04.2023 00:30:00.000 GMT-0600,1.24718,1.24754,1.24624,1.24734,2788040008.5448
27.04.2023 01:00:00.000 GMT-0600,1.24734,1.24757,1.24611,1.24639,3528020019.531301
27.04.2023 01:30:00.000 GMT-0600,1.24638,1.24756,1.24612,1.24622,2776979969.0246997
27.04.2023 02:00:00.000 GMT-0600,1.24623,1.24680,1.24562,1.24624,2500099990.8446
27.04.2023 02:30:00.000 GMT-0600,1.24624,1.24777,1.24619,1.24722,2393689998.6266
27.04.2023 03:00:00.000 GMT-0600,1.24719,1.24739,1.24611,1.24612,2303410011.2915998
27.04.2023 03:30:00.000 GMT-0600,1.24610,1.24663,1.24400,1.24444,2205329992.2943997
27.04.2023 04:00:00.000 GMT-0600,1.24442,1.24534,1.24411,1.24451,2339069992.0653
