Local time,Open,High,Low,Close,Volume
26.04.2023 00:00:00.000 GMT-0600,1.36289,1.36358,1.36288,1.36327,1056289999.0085001
26.04.2023 00:30:00.000 GMT-0600,1.36325,1.36332,1.36195,1.36219,2242149980.5448
26.04.2023 01:00:00.000 GMT-0600,1.36220,1.36268,1.36159,1.36161,2959189990.9974003
26.04.2023 01:30:00.000 GMT-0600,1.36160,1.36331,1.36152,1.36263,2568329998.0164003
26.04.2023 02:00:00.000 GMT-0600,1.36262,1.36334,1.36154,1.36163,2388690002.4413
26.04.2023 02:30:00.000 GMT-0600,1.36162,1.36259,1.36137,1.36231,1809320005.4167
26.04.2023 03:00:00.000 GMT-0600,1.36234,1.36307,1.36178,1.36283,1860240009.3079998
26.04.2023 03:30:00.000 GMT-0600,1.36282,1.36362,1.36255,1.36362,1681489997.8636
26.04.2023 04:00:00.000 GMT-0600,1.36358,1.36360,1.36201,1.36208,1492780002.5943
26.04.2023 04:30:00.000 GMT-0600,1.36207,1.36273,1.36161,1.36267,2422700000.7629004
26.04.2023 05:00:00.000 GMT-0600,1.36267,1.36375,1.36229,1.36256,2636109998.7027993
26.04.2023 05:30:00.000 GMT-0600,1.36256,1.36275,1.36077,1.36154,2970569988.250599
26.04.2023 06:00:00.000 GMT-0600,1.36155,1.36233,1.36129,1.36201,2673209981.9181995
26.04.2023 06:30:00.000 GMT-0600,1.36201,1.36303,1.36201,1.36260,2977700008.3921
26.04.2023 07:00:00.000 GMT-0600,1.36261,1.36317,1.36166,1.36237,4169640020.3704996
26.04.2023 07:30:00.000 GMT-0600,1.36239,1.36297,1.36095,1.36239,4522339996.3377
26.04.2023 08:00:00.000 GMT-0600,1.36240,1.36350,1.36186,1.36331,3856070037.8416996
26.04.2023 08:30:00.000 GMT-0600,1.36335,1.36354,1.36197,1.36233,4383219985.961902
26.04.2023 09:00:00.000 GMT-0600,1.36234,1.36245,1.36107,1.36181,2905920028.6868987
26.04.2023 09:30:00.000 GMT-0600,1.36181,1.36193,1.35989,1.36025,2499600006.1033998
26.04.2023 10:00:00.000 GMT-0600,1.36025,1.36153,1.35991,1.36136,1984600000.3815
26.04.2023 10:30:00.000 GMT-0600,1.36136,1.36226,1.36118,1.36132,1835409994.1254005
26.04.2023 11:00:00.000 GMT-0600,1.36132,1.36238,1.36091,1.36211,1744069995.8803
26.04.2023 11:30:00.000 GMT-0600,1.36213,1.36276,1.36168,1.36261,1676959993.3626997
26.04.2023 12:00:00.000 GMT-0600,1.36260,1.36406,1.36243,1.36372,1557669996.2616997
26.04.2023 12:30:00.000 GMT-0600,1.36373,1.36507,1.36372,1.36465,1993259998.3213
26.04.2023 13:00:00.000 GMT-0600,1.36466,1.36473,1.36386,1.36397,1326870002.7464998
26.04.2023 13:30:00.000 GMT-0600,1.36394,1.36459,1.36380,1.36428,1222119999.8855
26.04.2023 14:00:00.000 GMT-0600,1.36426,1.36454,1.36377,1.36377,767360002.5179
26.04.2023 14:30:00.000 GMT-0600,1.36377,1.36384,1.36343,1.36360,657820001.1252
26.04.2023 15:00:00.000 GMT-0600,1.36348,1.36349,1.36234,1.36327,141300001.5021
26.04.2023 15:30:00.000 GMT-0600,1.36329,1.36329,1.36269,1.36313,367849995.9706999
26.04.2023 16:00:00.000 GMT-0600,1.36307,1.36357,1.36307,1.36340,690829992.7712001
26.04.2023 16:30:00.000 GMT-0600,1.36341,1.36349,1.36296,1.36302,444519994.61669993
26.04.2023 17:00:00.000 GMT-0600,1.36301,1.36309,1.36269,1.36294,605099997.9974
26.04.2023 17:30:00.000 GMT-0600,1.36296,1.36312,1.36290,1.36308,230759999.9906
26.04.2023 18:00:00.000 GMT-0600,1.36307,1.36386,1.36296,1.36352,951860000.6105999
26.04.2023 18:30:00.000 GMT-0600,1.36354,1.36393,1.36347,1.36364,872849994.6597
26.04.2023 19:00:00.000 GMT-0600,1.36362,1.36451,1.36355,1.36439,915049997.3297002
26.04.2023 19:30:00.000 GMT-0600,1.36437,1.36450,1.36376,1.36399,1227709991.4548
26.04.2023 20:00:00.000 GMT-0600,1.36398,1.36422,1.36337,1.36357,869650005.3405999
26.04.2023 20:30:00.000 GMT-0600,1.36356,1.36399,1.36341,1.36363,881100003.2426
26.04.2023 21:00:00.000 GMT-0600,1.36364,1.36389,1.36338,1.36383,725739993.5720998
26.04.2023 21:30:00.000 GMT-0600,1.36380,1.36401,1.36357,1.36358,620920003.4144
26.04.2023 22:00:00.000 GMT-0600,1.36361,1.36370,1.36328,1.36342,579579999.9236
26.04.2023 22:30:00.000 GMT-0600,1.36343,1.36359,1.36310,1.36312,597919999.5992999
26.04.2023 23:00:00.000 GMT-0600,1.36316,1.36352,1.36267,1.36267,1150619994.1639
26.04.2023 23:30:00.000 GMT-0600,1.36265,1.36265,1.36158,1.36179,2006719997.4059005
27.04.2023 00:00:00.000 GMT-0600,1.36180,1.36222,1.36152,1.36204,2018799993.5151
27.04.2023 00:30:00.000 GMT-0600,1.36205,1.36271,1.36183,1.36230,1717619981.7656
27.04.2023 01:00:00.000 GMT-0600,1.36230,1.36364,1.36230,1.36331,2486500011.4441996
27.04.2023 01:30:00.000 GMT-0600,1.36331,1.36355,1.36269,1.36333,2152850009.9184
27.04.2023 02:00:00.000 GMT-0600,1.36333,1.36381,1.36248,1.36282,2173959995.2697997
27.04.2023 02:30:00.000 GMT-0600,1.36281,1.36292,1.36225,1.36279,1659569990.1581001
27.04.2023 03:00:00.000 GMT-0600,1.36279,1.36353,1.36268,1.36339,1329570003.5095003
27.04.2023 03:30:00.000 GMT-0600,1.36336,1.36372,1.36299,1.36330,1793349987.0299003
27.04.2023 04:00:00.000 GMT-0600,1.36331,1.36349,1.36281,1.36314,1733810001.3733003
27.04.2023 04:30:00.000 GMT-0600,1.36312,1.36317,1.36229,1.36233,1776259988.7846003
27.04.2023 05:00:00.000 GMT-0600,1.36233,1.36233,1.36138,1.36169,1946670007.7058
27.04.2023 05:30:00.000 GMT-0600,1.36170,1.36211,1.36139,1.36192,1301949998.8556004
27.04.2023 06:00:00.000 GMT-0600,1.36193,1.36243,1.36143,1.36225,2005959991.4549003
27.04.2023 06:30:00.000 GMT-0600,1.36227,1.36398,1.36128,1.36232,5910930038.452001
27.04.2023 07:00:00.000 GMT-0600,1.36230,1.36394,1.36162,1.36294,3674139991.7602005
27.04.2023 07:30:00.000 GMT-0600,1.36294,1.36359,1.36100,1.36127,5127749992.3703985
27.04.2023 08:00:00.000 GMT-0600,1.36126,1.36151,1.35906,1.36134,4465140022.277999
27.04.2023 08:30:00.000 GMT-0600,1.36131,1.36147,1.36034,1.36083,3195160011.291499
27.04.2023 09:00:00.000 GMT-0600,1.36084,1.36175,1.35985,1.35991,2824130004.882799
27.04.2023 09:30:00.000 GMT-0600,1.35989,1.36137,1.35983,1.36114,1800399994.8498
27.04.2023 10:00:00.000 GMT-0600,1.36114,1.36238,1.36080,1.36230,1361390006.0654001
27.04.2023 10:30:00.000 GMT-0600,1.36228,1.36230,1.36143,1.36151,1449389983.1771002
27.04.2023 11:00:00.000 GMT-0600,1.36148,1.36166,1.36054,1.36062,1314199998.8557
27.04.2023 11:30:00.000 GMT-0600,1.36056,1.36060,1.35979,1.36010,873990002.6320001
27.04.2023 12:00:00.000 GMT-0600,1.36011,1.36058,1.35962,1.35971,715840007.3051001
27.04.2023 12:30:00.000 GMT-0600,1.35971,1.36030,1.35942,1.36029,892539999.9617001
27.04.2023 13:00:00.000 GMT-0600,1.36027,1.36036,1.35921,1.35933,864149999.6185
27.04.2023 13:30:00.000 GMT-0600,1.35936,1.35959,1.35920,1.35938,1012720006.9428
27.04.2023 14:00:00.000 GMT-0600,1.35939,1.35947,1.35886,1.35924,1133020013.3324
27.04.2023 14:30:00.000 GMT-0600,1.35922,1.35935,1.35898,1.35912,472780000.4480999
27.04.2023 15:00:00.000 GMT-0600,1.35906,1.35944,1.35884,1.35905,404930002.8085
27.04.2023 15:30:00.000 GMT-0600,1.35902,1.35948,1.35887,1.35911,1196359994.1731
27.04.2023 16:00:00.000 GMT-0600,1.35909,1.35957,1.35909,1.35948,366450004.69679993
27.04.2023 16:30:00.000 GMT-0600,1.35949,1.35970,1.35935,1.35935,252989998.81739995
27.04.2023 17:00:00.000 GMT-0600,1.35935,1.36062,1.35933,1.36062,803469996.2140002
27.04.2023 17:30:00.000 GMT-0600,1.36062,1.36070,1.35983,1.35997,637599993.7056
27.04.2023 18:00:00.000 GMT-0600,1.35995,1.36026,1.35964,1.35987,1088569987.2972999
27.04.2023 18:30:00.000 GMT-0600,1.35987,1.36049,1.35973,1.36016,854710010.5285
27.04.2023 19:00:00.000 GMT-0600,1.36015,1.36068,1.36005,1.36059,680979996.9197001
27.04.2023 19:30:00.000 GMT-0600,1.36054,1.36054,1.35933,1.35944,2064450008.3922
27.04.2023 20:00:00.000 GMT-0600,1.35944,1.36042,1.35944,1.36012,876770000.9343001
27.04.2023 20:30:00.000 GMT-0600,1.36014,1.36043,1.35994,1.36012,730569995.8802999
27.04.2023 21:00:00.000 GMT-0600,1.36015,1.36075,1.35993,1.36052,922449993.1337001
27.04.2023 21:30:00.000 GMT-0600,1.36049,1.36060,1.36019,1.36020,1115450007.4386
27.04.2023 22:00:00.000 GMT-0600,1.36024,1.36068,1.35990,1.36061,2870970002.1745005
27.04.2023 22:30:00.000 GMT-0600,1.36063,1.36089,1.36044,1.36080,825329998.97
27.04.2023 23:00:00.000 GMT-0600,1.36082,1.36109,1.36052,1.36077,934170007.7055
