Local time,Open,High,Low,Close,Volume
26.04.2023 00:00:00.000 GMT-0600,0.89063,0.89111,0.89063,0.89079,1675390008.9266
26.04.2023 00:30:00.000 GMT-0600,0.89078,0.89106,0.89050,0.89064,1965000003.8145995
26.04.2023 01:00:00.000 GMT-0600,0.89064,0.89085,0.88947,0.88974,2874659996.0327992
26.04.2023 01:30:00.000 GMT-0600,0.88972,0.89133,0.88966,0.89096,2874619995.1173005
26.04.2023 02:00:00.000 GMT-0600,0.89095,0.89186,0.89033,0.89036,2910919998.1689997
26.04.2023 02:30:00.000 GMT-0600,0.89037,0.89085,0.88968,0.88980,2442939987.1823997
26.04.2023 03:00:00.000 GMT-0600,0.88980,0.88980,0.88869,0.88928,2323430006.0270004
26.04.2023 03:30:00.000 GMT-0600,0.88929,0.88992,0.88898,0.88964,1646099996.5666
26.04.2023 04:00:00.000 GMT-0600,0.88965,0.88965,0.88871,0.88872,1491990011.2152
26.04.2023 04:30:00.000 GMT-0600,0.88869,0.88906,0.88779,0.88899,1976169990.5394006
26.04.2023 05:00:00.000 GMT-0600,0.88899,0.88960,0.88856,0.88862,2266640007.0192003
26.04.2023 05:30:00.000 GMT-0600,0.88863,0.88983,0.88845,0.88969,3468450038.9098
26.04.2023 06:00:00.000 GMT-0600,0.88969,0.89005,0.88860,0.88874,2818249992.3706
26.04.2023 06:30:00.000 GMT-0600,0.88881,0.88991,0.88835,0.88869,3576540019.989099
26.04.2023 07:00:00.000 GMT-0600,0.88871,0.88907,0.88513,0.88559,5038709968.566901
26.04.2023 07:30:00.000 GMT-0600,0.88561,0.88713,0.88543,0.88630,5426059997.5587
26.04.2023 08:00:00.000 GMT-0600,0.88630,0.88832,0.88614,0.88794,4728769927.9783
26.04.2023 08:30:00.000 GMT-0600,0.88793,0.89049,0.88773,0.89026,3651490020.752201
26.04.2023 09:00:00.000 GMT-0600,0.89025,0.89112,0.88977,0.89055,3028260009.765801
26.04.2023 09:30:00.000 GMT-0600,0.89054,0.89067,0.88961,0.89010,2386919998.1689997
26.04.2023 10:00:00.000 GMT-0600,0.89010,0.89154,0.88992,0.89150,2210260005.9512
26.04.2023 10:30:00.000 GMT-0600,0.89150,0.89165,0.89091,0.89153,1603300004.9593003
26.04.2023 11:00:00.000 GMT-0600,0.89158,0.89200,0.89137,0.89169,1631749998.0925999
26.04.2023 11:30:00.000 GMT-0600,0.89169,0.89197,0.89148,0.89159,1176929998.3978
26.04.2023 12:00:00.000 GMT-0600,0.89159,0.89188,0.89137,0.89165,965290008.545
26.04.2023 12:30:00.000 GMT-0600,0.89165,0.89168,0.89080,0.89084,1334909996.9863
26.04.2023 13:00:00.000 GMT-0600,0.89085,0.89127,0.89067,0.89105,874880005.8364002
26.04.2023 13:30:00.000 GMT-0600,0.89105,0.89156,0.89104,0.89112,1053710009.5747004
26.04.2023 14:00:00.000 GMT-0600,0.89115,0.89142,0.89115,0.89123,356690000.2959
26.04.2023 14:30:00.000 GMT-0600,0.89123,0.89131,0.89082,0.89082,430009999.03700006
26.04.2023 15:00:00.000 GMT-0600,0.89082,0.89090,0.88980,0.89033,115190000.05719998
26.04.2023 15:30:00.000 GMT-0600,0.89034,0.89086,0.89034,0.89073,2205329976.797
26.04.2023 16:00:00.000 GMT-0600,0.89073,0.89110,0.89064,0.89093,1777130006.7903998
26.04.2023 16:30:00.000 GMT-0600,0.89096,0.89117,0.89088,0.89104,187499997.6159
26.04.2023 17:00:00.000 GMT-0600,0.89103,0.89110,0.89077,0.89091,450620001.55450004
26.04.2023 17:30:00.000 GMT-0600,0.89091,0.89092,0.89071,0.89085,404759999.2755
26.04.2023 18:00:00.000 GMT-0600,0.89085,0.89097,0.89055,0.89072,828279997.8257002
26.04.2023 18:30:00.000 GMT-0600,0.89073,0.89078,0.89053,0.89053,782319997.7874001
26.04.2023 19:00:00.000 GMT-0600,0.89053,0.89115,0.89052,0.89101,755260002.1363001
26.04.2023 19:30:00.000 GMT-0600,0.89097,0.89108,0.89049,0.89086,1009660006.5229999
26.04.2023 20:00:00.000 GMT-0600,0.89085,0.89096,0.89072,0.89075,574810000.8962
26.04.2023 20:30:00.000 GMT-0600,0.89072,0.89094,0.89070,0.89073,1005040000.9154999
26.04.2023 21:00:00.000 GMT-0600,0.89073,0.89083,0.89056,0.89071,666330000.4007
26.04.2023 21:30:00.000 GMT-0600,0.89071,0.89089,0.89056,0.89089,714759998.3214002
26.04.2023 22:00:00.000 GMT-0600,0.89092,0.89092,0.89060,0.89069,556900001.5258
26.04.2023 22:30:00.000 GMT-0600,0.89068,0.89093,0.89051,0.89088,596469999.7902
26.04.2023 23:00:00.000 GMT-0600,0.89092,0.89106,0.89070,0.89070,799709994.5544997
26.04.2023 23:30:00.000 GMT-0600,0.89070,0.89071,0.89029,0.89045,1596470004.0819001
27.04.2023 00:00:00.000 GMT-0600,0.89044,0.89076,0.89031,0.89057,1712670003.8909001
27.04.2023 00:30:00.000 GMT-0600,0.89056,0.89104,0.89026,0.89067,2481930009.8419
27.04.2023 01:00:00.000 GMT-0600,0.89067,0.89211,0.89041,0.89174,3147990016.9371004
27.04.2023 01:30:00.000 GMT-0600,0.89171,0.89213,0.89088,0.89201,2552689989.0898
27.04.2023 02:00:00.000 GMT-0600,0.89201,0.89301,0.89190,0.89250,2657389972.6866
27.04.2023 02:30:00.000 GMT-0600,0.89249,0.89256,0.89157,0.89239,1741029996.8719
27.04.2023 03:00:00.000 GMT-0600,0.89244,0.89287,0.89212,0.89256,1747150001.5255003
27.04.2023 03:30:00.000 GMT-0600,0.89257,0.89381,0.89248,0.89336,1858179996.4906003
27.04.2023 04:00:00.000 GMT-0600,0.89336,0.89344,0.89272,0.89278,1465299985.8853002
27.04.2023 04:30:00.000 GMT-0600,0.89279,0.89300,0.89243,0.89271,1279850001.3353002
27.04.2023 05:00:00.000 GMT-0600,0.89274,0.89326,0.89214,0.89324,1946540010.4524994
27.04.2023 05:30:00.000 GMT-0600,0.89324,0.89397,0.89275,0.89388,1606829994.2014003
27.04.2023 06:00:00.000 GMT-0600,0.89387,0.89389,0.89280,0.89300,2157460002.8993993
27.04.2023 06:30:00.000 GMT-0600,0.89300,0.89758,0.89192,0.89622,9788459945.678799
27.04.2023 07:00:00.000 GMT-0600,0.89621,0.89743,0.89523,0.89695,4221539978.0274997
27.04.2023 07:30:00.000 GMT-0600,0.89698,0.89727,0.89572,0.89620,5138490005.4934
27.04.2023 08:00:00.000 GMT-0600,0.89620,0.89655,0.89565,0.89649,4359579986.5725
27.04.2023 08:30:00.000 GMT-0600,0.89647,0.89760,0.89602,0.89685,3577479980.4688993
27.04.2023 09:00:00.000 GMT-0600,0.89686,0.89692,0.89492,0.89495,3570239986.4197
27.04.2023 09:30:00.000 GMT-0600,0.89494,0.89579,0.89491,0.89570,1726699997.9016998
27.04.2023 10:00:00.000 GMT-0600,0.89569,0.89604,0.89534,0.89537,1551599999.4275997
27.04.2023 10:30:00.000 GMT-0600,0.89537,0.89567,0.89504,0.89551,1403769998.5504
27.04.2023 11:00:00.000 GMT-0600,0.89549,0.89577,0.89433,0.89435,1437060010.9102995
27.04.2023 11:30:00.000 GMT-0600,0.89433,0.89436,0.89370,0.89390,1032949998.3785999
27.04.2023 12:00:00.000 GMT-0600,0.89390,0.89411,0.89368,0.89368,708029997.8255999
27.04.2023 12:30:00.000 GMT-0600,0.89369,0.89410,0.89359,0.89399,731079998.0165
27.04.2023 13:00:00.000 GMT-0600,0.89401,0.89405,0.89364,0.89373,702460004.0916
27.04.2023 13:30:00.000 GMT-0600,0.89372,0.89455,0.89372,0.89412,888409998.8939
27.04.2023 14:00:00.000 GMT-0600,0.89412,0.89441,0.89403,0.89419,729759995.9372998
27.04.2023 14:30:00.000 GMT-0600,0.89419,0.89437,0.89410,0.89410,1154660001.7549
27.04.2023 15:00:00.000 GMT-0600,0.89383,0.89383,0.89182,0.89373,88799998.9988
27.04.2023 15:30:00.000 GMT-0600,0.89366,0.89411,0.89326,0.89376,1018989995.718
27.04.2023 16:00:00.000 GMT-0600,0.89371,0.89428,0.89371,0.89425,726000000.4768
