Local time,Open,High,Low,Close,Volume
26.04.2023 00:00:00.000 GMT-0600,0.61319,0.61344,0.61278,0.61335,1462159990.3105998
26.04.2023 00:30:00.000 GMT-0600,0.61337,0.61423,0.61325,0.61405,1943049999.2370002
26.04.2023 01:00:00.000 GMT-0600,0.61403,0.61443,0.61323,0.61440,2469840011.5968
26.04.2023 01:30:00.000 GMT-0600,0.61441,0.61446,0.61307,0.61352,2108810003.2805996
26.04.2023 02:00:00.000 GMT-0600,0.61350,0.61371,0.61282,0.61364,2413280002.594
26.04.2023 02:30:00.000 GMT-0600,0.61365,0.61389,0.61251,0.61285,1863399988.1744993
26.04.2023 03:00:00.000 GMT-0600,0.61285,0.61308,0.61227,0.61239,1635489990.2340996
26.04.2023 03:30:00.000 GMT-0600,0.61237,0.61269,0.61216,0.61258,1358939999.5803003
26.04.2023 04:00:00.000 GMT-0600,0.61258,0.61356,0.61258,0.61356,1228159997.9399
26.04.2023 04:30:00.000 GMT-0600,0.61357,0.61387,0.61292,0.61305,2090710008.6211002
26.04.2023 05:00:00.000 GMT-0600,0.61306,0.61326,0.61244,0.61265,2571610004.4251
26.04.2023 05:30:00.000 GMT-0600,0.61264,0.61339,0.61219,0.61231,4987700019.8364
26.04.2023 06:00:00.000 GMT-0600,0.61235,0.61295,0.61199,0.61288,2047479984.2830997
26.04.2023 06:30:00.000 GMT-0600,0.61285,0.61325,0.61206,0.61285,3904180011.7492
26.04.2023 07:00:00.000 GMT-0600,0.61284,0.61397,0.61262,0.61367,3477520023.3462
26.04.2023 07:30:00.000 GMT-0600,0.61366,0.61436,0.61302,0.61396,3643829994.2016
26.04.2023 08:00:00.000 GMT-0600,0.61396,0.61398,0.61260,0.61325,2986760009.765799
26.04.2023 08:30:00.000 GMT-0600,0.61327,0.61357,0.61255,0.61280,2677999992.3705997
26.04.2023 09:00:00.000 GMT-0600,0.61281,0.61353,0.61242,0.61258,2797769989.0137
26.04.2023 09:30:00.000 GMT-0600,0.61255,0.61356,0.61240,0.61325,2097010021.2099001
26.04.2023 10:00:00.000 GMT-0600,0.61325,0.61328,0.61212,0.61215,1697660011.2917998
